ProteinID,PSME1_KD_1_original_intensity,PSME1_KD_2_original_intensity,PSME1_KD_3_original_intensity,Scram_1_original_intensity,Scram_2_original_intensity,Scram_3_original_intensity
CPSF3,26.385830614287165,26.29629044822199,26.320178904676858,26.505688680499734,26.345418619162626,26.404611238972784
CPSF4,26.37345609209185,26.069364652529522,26.27109494422029,26.181739132248467,26.092576764043567,26.37370129558472
CPSF6,28.05463159267035,28.071656383136215,28.194981701422712,27.895025594854786,27.76825305351822,27.703866699443854
CPSF7,26.963464936775917,27.07384286295408,27.16188620457673,26.719833949757163,26.571747249412585,26.979312146105013
CPT1A,28.390383027341358,28.33557255937706,28.060534356401686,28.771088635318705,28.75602905027933,28.826886501572254
CPT2,26.030097872253826,26.12585800424679,25.986877413390022,26.27630495353509,25.96988968,25.900004021267517
CRADD,24.91527747025197,25.230225209867164,25.00902403167623,24.866538229461053,25.11582217537005,25.138420880375342
CRAT,27.57752609785222,27.83830721654842,27.50155966067082,27.723240551200412,27.533305386352374,27.672592436469873
CREG1,27.609873395271507,27.47791467446261,27.06983276682515,27.915901987620465,27.742859836684914,27.886449172706584
CRELD1,25.50474074882632,25.369266378357263,24.629424939537724,25.16882427211869,25.248084558942043,25.052038359896592
CRELD2,25.65303734648515,25.482361997270704,25.454628517482117,25.415312676031203,25.59532792767073,25.667094952797477
CRIM1,25.456999634907522,25.440762477397477,25.775041441523868,25.87431417850346,25.76895207987039,25.769957797987367
CRIP1,29.702074709498323,29.662019737670136,29.684389178470024,29.48892540369433,29.667704552792024,29.337062500925214
CRIP2,25.504122723836346,25.862639306861407,25.764441359964025,25.584409409546836,25.61740070206384,25.410388683469325
CRK,27.04297786262927,23.301432232989068,26.676903750242214,27.33534135,26.757598746718305,26.941862456278148
CRKL,26.070334888349908,25.999762053191752,25.703565261495637,25.961636970380923,25.943765026325902,25.821747307027696
CRLF3,26.204707247803526,26.491641773932127,26.395771635696384,26.128047199034075,26.55148770411714,26.01189556890614
CRNKL1,26.771389041275285,26.564370681369784,26.975246510779108,26.505003759355276,26.463637001400862,26.69681820865262
CROT,25.937732402663983,25.910151446831946,25.612952879565714,26.046110592174266,25.79838302286592,25.576216736262825
